fav_grp,popl_by_co_yn,reason,yr_listened,gender_pref,daily_MV_hr,daily_music_hr,watch_MV_yn,obsessed_yn,news_medium,pursuit,time_cons_yn,life_chg,pos_eff,yr_merch_spent,money_src,concert_yn,crazy_ev,age,country,job,gender,num_gr_like,bts_vs_others
bts,3,3,1.5,3,2.5,5,1,3,1,3,2,1,1,75,1,1,2,18,2,1,0,1,1
bts,3,3,3.5,3,2.5,3,1,3,1,3,1,1,2,50,2,3,2,18,2,2,0,1,1
"bts,monsta x",3,3,4,3,2.5,3,1,3,2,3,2,1,2,75,2,1,0,18,6,2,0,2,1
bts,3,3,3.5,3,3.5,5,1,3,1,3,2,1,1,75,2,1,0,24,1,2,0,1,1
bts,1,3,3.5,3,2.5,5,1,3,1,1,1,1,1,150,3,3,0,18,1,2,0,1,1
"bts,exo,blackpink,monsta x,iâ€™m a multi-stan",3,3,4,3,1,3,1,3,3,1,2,1,2,50,2,3,2,18,1,2,0,5,1
bts,4,3,3.5,3,1,5,1,3,1,2,1,3,2,50,3,3,0,12,3,2,0,1,1
bts,1,3,4,3,1,3,1,3,1,3,2,0,1,50,3,1,0,18,1,2,0,1,1
"nct,ateez",3,3,3.5,3,2.5,5,1,3,1,3,1,3,2,50,3,3,1,12,2,2,0,2,0
bts,1,3,4,3,1,10,1,3,1,3,2,0,1,0,2,3,0,18,1,2,0,1,1
bts,4,3,4,3,1,5,1,3,2,3,2,1,1,0,4,3,0,12,1,2,0,1,1
"bts,exo,blackpink,stray kids,nct,(g)i-dle,red velvet",3,3,1.5,3,1,3,1,3,1,3,1,1,1,75,3,1,2,18,2,2,0,7,1
jbj,3,3,4,3,1,3,1,3,2,3,2,0,2,50,2,3,0,18,1,2,0,1,0
"bts,blackpink",3,3,1.5,3,1,.5,1,3,1,3,2,1,2,0,3,2,0,18,1,2,0,2,1
girl's day,3,3,4,3,1,5,1,3,1,3,1,0,2,75,1,1,2,24,1,2,1,1,0
bts,4,3,1.5,3,2.5,3,1,3,1,1,2,1,1,75,3,1,2,18,2,2,0,1,1
bts,3,3,1.5,3,1,3,1,3,2,3,2,1,2,75,3,3,1,12,1,2,0,1,1
"bts,exo,monsta x,stray kids",1,3,3.5,3,1,10,1,3,1,3,2,1,1,500,3,3,0,12,1,2,0,4,1
